tomst_id,T1,T2,T3
94213511,0,0.1689,-0.0843
94213522,0.0957,0,-0.177
94213515,0.0077,0,-0.1764
94213514,0.0162,-0.0588,0
94213523,0.0824,0,-0.066
94213513,0.0169,0,-0.1264
94217048,-0.2407,0,0.3313
94217047,-0.0042,0,0.3173
94217049,-0.0874,0,0.3758
94213524,-0.0656,0,0.0658
94213521,-0.0223,0.0451,0
94217046,-0.1498,0,0.6289
94213549,-0.1261,0.03,0
94217050,-0.2934,0,0.3106
94213512,0.2284,0,-0.0087
94213546,0.0131,0,-0.0367
94213550,0.0712,0,-0.1419
94213547,-0.0107,0.4025,0
94213548,-0.0986,0.0718,0
94213525,-0.0703,0.0221,0
94217057,0,0.1455,-0.3937
94217056,-0.3238,0,0.2912
94217060,0.2631,0,-0.3934
94217058,8e-4,-0.0086,0
94217059,0.1182,0,-0.0416
94217027,0.1093,-0.1941,0
94217073,0,0.0799,-0.1504
94217074,0.0283,0,-0.0027
94217028,0.0629,0,-0.0391
94217031,0,0.0397,-0.0496
94217035,-0.3768,0,0.1376
94217071,0,-0.0446,0.0404
94217069,0.214,0,-0.3618
94217067,-0.102,0,0.1922
94217026,-0.0261,0,0.5536
94217038,-0.1837,0,0.1606
94217066,0.2862,0,-0.1175
94217068,0.1213,0,-0.0327
94217072,0.0812,0,-0.1041
94217032,0.0772,0,-0.1433
94217033,0.0241,-0.0079,0
94217029,0,0.1165,-0.1353
94217070,0,0.0977,-0.1892
94217075,0.0063,0,-0.1467
94217030,0,0.0173,-0.2209
94217036,-0.2745,0,0.2521
94217039,-0.2763,0,0.1427
94217040,-0.2524,0.0945,0
94217037,0.2805,0,-0.1259
94217034,-0.1136,0,0.3999
94212887,0,0.0608,-0.1773
94217006,0,0.0477,-0.1907
94217002,0.0321,0,-0.1439
94217004,0.0234,0,-0.0083
94217012,0,0.0546,-0.0843
94217003,0.1724,0,-0.2443
94217015,0,0.1486,-0.1136
94217013,0.132,0,-0.0875
94217014,0.1186,0,-0.3273
94212886,0.2066,-0.0329,0
94212889,0.0702,0,-0.046
94217009,0.0763,0,-0.2285
94217010,-0.0247,0.0824,0
94217007,0,0.13,-0.1175
94212890,0.091,-0.0415,0
94217001,0,0.0433,-0.2431
94217011,0,0.2033,-0.0289
94217008,0.1786,0,-0.0501
94217005,0,0.0225,-0.1683
94212888,0,-0.0609,0.1271
94212894,0.0454,0,-0.1791
94212895,0,0.1795,-0.1554
94212892,0,0.0084,-0.0347
94212893,-0.0824,0.0599,0
94212891,-0.0343,0.2822,0
94217062,0,0.0652,-0.1153
94212853,-0.1501,0.0337,0
94212855,-0.1341,0.181,0
94213539,0.0192,0,-0.1159
94217080,0,0.0213,-0.0867
94212860,0,0.327,-0.0135
94217077,0.1226,0,-0.1769
94212859,0,0.1407,-0.0119
94213540,0.0908,0,-0.1083
94217064,0.0449,0,-0.0257
94217065,0,0.065,-9e-4
94213537,0,0.0545,-0.1419
94212858,0.0525,-0.0893,0
94217079,0.1706,0,-0.0951
94212856,0.0643,-0.0733,0
94213538,0,0.0842,-0.1271
94217078,0.0354,0,-0.2368
94212857,0.1585,0,-0.2862
94213536,0.0289,-0.0328,0
94217061,0,0.0344,-0.1398
94217063,0,0.1436,-0.0613
94212854,0.0756,0,-0.0948
94212851,0,0.1905,-7e-4
94212852,0.1498,-0.0308,0
94217076,0,0.0022,-0.1108
94213545,0.033,0,-0.1756
94212882,-0.0168,0.0279,0
94217045,-0.0214,0.1708,0
94217041,0.0913,0,-0.2367
94217044,0,0.1522,-0.1756
94217024,0.0019,0,-0.0731
94212868,0.0451,-0.0487,0
94212869,0,-0.0717,0.0372
94212866,0.1518,0,-0.0155
94213544,0.0954,0,-0.0279
94213541,-0.0806,0.0756,0
94212867,0.2508,0,-0.0476
94217022,0,0.0104,-0.2664
94212870,-0.0031,0.1696,0
94217021,0.0599,0,-0.1893
94217023,0.0177,0,-0.0392
94217043,0.0866,0,-0.1377
94217042,0,0.071,-0.1025
94217025,0.2219,0,-0.1425
94213543,-0.098,0.1627,0
94213542,-0.0077,7e-4,0
94212884,0.0221,0,-0.1144
94212881,0,0.0944,-0.2392
94212883,0.1915,0,-0.0974
94212885,0.1027,0,-0.1635
94212875,-0.0387,0.0755,0
94217017,0,0.0642,-0.0061
94217052,0,0.0603,-0.1322
94217055,0.0371,0,-0.1191
94212872,-0.0356,0.0403,0
94213501,0.0165,0,-0.1945
94217020,0.0333,0,-0.0571
94213503,0,0.1159,-0.0405
94213504,-0.0136,0.2338,0
94212871,0,0.1461,-0.1312
94212874,0,-2e-4,0.1139
94217054,0,0.0626,-0.1066
94217051,0.0437,0,-0.0503
94217018,0.074,0,-0.1952
94213505,-0.0327,0.1151,0
94213502,0.0184,0,-0.0709
94217016,0.1178,0,-0.2098
94217019,0.0028,0,-0.0876
94217053,0,0.0188,-0.0488
94212873,0.1005,-0.0061,0
94213526,0,0.1216,-0.0762
94213527,-0.0538,0,0.1139
94213528,0,0.0966,-0.0809
94213530,0,0.0897,-0.0381
94213529,0,0.1169,-0.0541
94214130,0,0,0
94214121,0,0.0991,-0.2677
94214148,-0.0703,0,0.0513
94214102,0.3335,0,-2.6926
94214310,0.4781,0,-2.8475
94214116,0,0.114,-0.241
94214104,0.217,0,-2.1927
94214123,0,0.0877,-0.459
94214135,0,0,0
94214144,-0.2818,0.1202,0
94214133,0,0,0
94214146,0,0,0
94214108,0.1618,0,-2.0453
94214137,0,-0.005,0.0328
94214113,0.057,0,-2.2433
94214110,0,0,0
94214120,0,0,0
94214142,0,0,0
94214124,0,0,0
94214150,0.0038,0,-0.5715
94214126,0,0,0
94214136,-0.0286,0,0.0281
94214134,0,0,0
94214103,0,0,0
94214117,0,0.2865,-0.2343
94214127,0,0.0415,-0.0073
94214115,0.1837,0,-1.9674
94214143,0,0,0
94214105,0,0,0
94214129,-0.0798,0.0268,0
94214107,0.0238,0,-2.0946
94214111,0.358,0,-2.0266
94214122,0,0,0
94214128,-0.119,0.0243,0
94214125,0,0,0
94214140,-0.1468,0,0.0142
94214141,0,0,0
94214306,0,0,0
94214112,0.2185,0,-2.063
94214132,-0.0585,0.1128,0
94214149,-0.1901,0,0.0239
94214109,0,0,0
94214139,0,0.0489,-0.0061
94214106,0,0,0
94214131,0,0.0426,-0.1234
94214114,0,0,0
94214138,0,0,0
94214119,0,0,0
94194348,0.1125,-0.0103,0
94194216,0.0124,-0.129,0
94194227,0.1397,0,-0.0201
94194235,0.024,-0.1617,0
94194344,0,0.0108,-0.0249
94194343,0.0291,-0.0908,0
94194240,0.0312,-0.0495,0
94194220,0.0175,0,-0.0187
94194218,0.2988,0,-0.0123
94194423,0,0.0158,-0.0175
94194222,0.0171,0,-0.0173
94194212,0.0879,-0.0317,0
94194225,0.0589,0,-0.0501
94194345,-0.0313,0.057,0
94194358,0.0868,-0.0412,0
